Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Stream Ptr,Device Type
APP,1783598303327795.120	,,9916.5234375,,,NPU:3
APP,1783598303347799.120	,,9916.5234375,,,NPU:3
APP,1783598303367921.120	,,9916.5234375,,,NPU:3
APP,1783598303387948.120	,,9916.5234375,,,NPU:3
APP,1783598303407809.120	,,9916.5234375,,,NPU:3
APP,1783598303427893.120	,,9916.5234375,,,NPU:3
APP,1783598303447919.120	,,9916.5234375,,,NPU:3
APP,1783598303467764.120	,,9916.5234375,,,NPU:3
APP,1783598303487950.120	,,9916.5234375,,,NPU:3
APP,1783598303507802.120	,,9916.5234375,,,NPU:3
APP,1783598303527800.120	,,9916.5234375,,,NPU:3
APP,1783598303547790.120	,,9916.5234375,,,NPU:3
APP,1783598303567796.120	,,9916.5234375,,,NPU:3
APP,1783598303587798.120	,,9916.5234375,,,NPU:3
APP,1783598303607798.120	,,9916.5234375,,,NPU:3
APP,1783598303627790.120	,,9916.5234375,,,NPU:3
APP,1783598303647791.120	,,9916.5234375,,,NPU:3
APP,1783598303667788.120	,,9916.5234375,,,NPU:3
APP,1783598303678228.120	,,9916.5234375,,,NPU:3
PTA,1783598303371766.886	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA+GE,1783598303371766.886	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA,1783598303371830.041	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA+GE,1783598303371830.041	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA,1783598303371866.696	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA+GE,1783598303371866.696	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA,1783598303371867.346	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA+GE,1783598303371867.346	,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
PTA,1783598303371953.015	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA+GE,1783598303371953.015	,2692.501953125,9626.0,2692.501953125,61,NPU:3
PTA,1783598303371957.642	,2708.50244140625,9626.0,2708.50244140625,61,NPU:3
