Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
3,StatelessNormal,MIX_AIV,24,162553.978,3410.66,6773.082,10152.688,43.484
3,_swa_bwd_dkdv_kernel,AI_CORE,6,58304.404,9700.801,9717.4,9736.747,15.597
3,_swa_bwd_dq_kernel,AI_CORE,6,32295.595,5379.757,5382.599,5385.608,8.639
3,_swa_fwd_kernel,AI_CORE,6,26886.757,4480.312,4481.126,4481.892,7.192
3,Cast,AI_VECTOR_CORE,67,25604.488,1.447,382.156,858.247,6.849
3,Add,AI_VECTOR_CORE,30,17863.099,5.444,595.436,1119.162,4.778
3,Mul,AI_VECTOR_CORE,24,17277.346,348.69,719.889,1092.567,4.622
3,BroadcastTo,AI_VECTOR_CORE,47,15855.131,155.898,337.343,527.255,4.241
3,ZerosLike,AI_VECTOR_CORE,42,6630.163,4.362,157.861,504.208,1.774
3,TensorMove,AI_VECTOR_CORE,18,5477.017,183.125,304.278,537.964,1.465
3,_swa_bwd_preprocess,AI_VECTOR_CORE,6,4986.854,828.763,831.142,837.52,1.334
3,StatelessRandom,AI_VECTOR_CORE,5,31.752,6.149,6.35,6.5,0.008
3,ConcatD,AI_VECTOR_CORE,10,25.024,2.227,2.502,2.749,0.007
3,Cumsum,AI_VECTOR_CORE,10,20.808,1.699,2.08,2.582,0.006
3,ClipByValueV2,AI_VECTOR_CORE,5,13.09,2.434,2.618,2.741,0.004
