Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::empty,0.5,1783598303371766.886	,1783598303372000.646	,1783598303371999.705	,233.760	,232.819	,2692.50146484375,9626.0,2692.50146484375,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::random_,0.5,1783598303371830.041	,1783598303371867.346	,1783598303371866.696	,37.305	,36.655	,2692.501953125,9626.0,2692.501953125,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
aten::clamp,0.5,1783598303371953.015	,1783598303374392.272	,1783598303374391.461	,2439.257	,2438.446	,2692.501953125,9626.0,2692.501953125,3716.501953125,9626.0,3716.501953125,61,NPU:3
aten::clamp,16384.5,1783598303371957.642	,1783598303371994.667	,1783598303371994.147	,37.025	,36.505	,2708.50244140625,9626.0,2708.50244140625,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::empty_strided,0.5,1783598303372191.422	,1783598303372796.209	,1783598303372795.668	,604.787	,604.246	,2692.501953125,9626.0,2692.501953125,2692.501953125,9626.0,2692.501953125,61,NPU:3
aten::cumsum,0.5,1783598303372444.822	,1783598303372688.818	,1783598303372687.937	,243.996	,243.115	,2692.50244140625,9626.0,2692.50244140625,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::cumsum,16385.0,1783598303372449.089	,1783598303372481.748	,1783598303372481.197	,32.659	,32.108	,2708.50341796875,9626.0,2708.50341796875,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::empty,0.5,1783598303372622.799	,1783598303372794.387	,1783598303372793.575	,171.588	,170.776	,2692.5029296875,9626.0,2692.5029296875,2692.50244140625,9626.0,2692.50244140625,61,NPU:3
aten::copy_,16384.5,1783598303372654.417	,1783598303372684.271	,1783598303372683.670	,29.854	,29.253	,2708.50341796875,9626.0,2708.50341796875,2692.5029296875,9626.0,2692.5029296875,61,NPU:3
aten::cat,0.5,1783598303372750.811	,1783598303440231.470	,1783598303440230.909	,67480.659	,67480.098	,2692.5029296875,9626.0,2692.5029296875,2692.50146484375,9626.0,2692.50146484375,61,NPU:3
