Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
5,4294967295,1298,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155350392.872	,123.459,0,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,122.75,3909892,55.129,0.449,69.48,0.566,50.105,0.408,76.459,0.623,0.002,0.0,32.438,0.264,0.001,122.77,7986600,81.515,0.664,33.177,0.27,34.488,0.281,15.487,0.126,0.002,68.549
5,4294967295,1299,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155350623.530	,123.21,107.199,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,122.91,3909049,55.188,0.449,70.23,0.571,50.261,0.409,76.225,0.62,0.002,0.0,32.467,0.264,0.0,122.94,7976730,81.416,0.662,34.107,0.277,34.734,0.283,14.961,0.122,0.0,68.673
5,4294967295,1300,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155350819.675	,122.928,72.935,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,122.59,3885790,55.419,0.452,69.734,0.569,50.433,0.411,76.366,0.623,0.002,0.0,32.587,0.266,0.0,122.61,7932212,81.659,0.666,33.699,0.275,34.781,0.284,14.935,0.122,0.0,68.421
5,4294967295,1301,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155351009.788	,123.358,67.185,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,123.02,3900434,55.357,0.45,70.222,0.571,50.404,0.41,76.411,0.621,0.002,0.0,32.565,0.265,0.0,123.04,7959547,81.659,0.664,33.991,0.276,34.836,0.283,14.94,0.121,0.0,68.439
5,4294967295,1302,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155351195.299	,122.631,62.153,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,122.34,3889459,55.179,0.451,69.646,0.569,50.271,0.411,76.15,0.622,0.002,0.0,32.5,0.266,0.0,122.36,7940603,81.402,0.665,33.705,0.275,34.671,0.283,14.89,0.122,0.0,68.651
5,4294967295,1303,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155351378.438	,122.036,60.508,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,121.74,3863528,55.376,0.455,68.961,0.566,50.349,0.414,76.401,0.628,0.002,0.0,32.534,0.267,0.0,121.77,7888262,81.545,0.67,32.91,0.27,34.803,0.286,14.937,0.123,0.0,68.526
5,4294967295,1304,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155351560.768	,123.807,60.294,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,123.35,3904146,55.457,0.45,70.423,0.571,50.458,0.409,76.444,0.62,0.002,0.0,32.63,0.265,0.0,123.38,7967285,81.8,0.663,34.265,0.278,34.908,0.283,14.929,0.121,0.0,68.256
5,4294967295,1305,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155351747.104	,123.538,62.529,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,123.22,3903499,55.394,0.45,70.272,0.57,50.486,0.41,76.398,0.62,0.002,0.0,32.601,0.265,0.0,123.24,7967726,81.711,0.663,34.27,0.278,34.9,0.283,14.905,0.121,0.0,68.393
5,4294967295,1306,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155351926.941	,122.291,56.299,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,121.99,3878532,55.162,0.452,69.363,0.569,50.221,0.412,76.299,0.625,0.002,0.0,32.489,0.266,0.0,122.02,7916454,81.423,0.667,33.557,0.275,34.692,0.284,14.883,0.122,0.0,68.648
5,4294967295,1307,61,_swa_bwd_dkdv_kernel,_swa_bwd_dkdv_kernel,static,AI_CORE,1783586155352106.768	,123.144,57.536,28,0,YES,"""1964,16,96;16,1964;16,1964""",DT_BF16;FLOAT;FLOAT,ND;ND;ND,"""1964,4,96;1964,4,96""",DT_BF16;DT_BF16,ND;ND,N/A,122.85,3902742,55.267,0.45,70.074,0.57,50.308,0.41,76.388,0.622,0.002,0.0,32.516,0.265,0.0,122.87,7960339,81.542,0.664,33.932,0.276,34.83,0.283,14.915,0.121,0.0,68.598
